Time,Absorbance
0.00102,0.0563
0.00104,0.0563
0.00106,0.0563
0.0011,0.0562
0.00112,0.0561
0.00116,0.0561
0.0012,0.056
0.00122,0.056
0.00125,0.0559
0.00129,0.0558
0.00134,0.0556
0.00139,0.0556
0.00145,0.0555
0.0015,0.0555
0.00159,0.0554
0.00171,0.0552
0.0018,0.055
0.00187,0.055
0.00194,0.0549
0.00205,0.0548
0.00213,0.0546
0.00221,0.0545
0.00234,0.0543
0.00242,0.0542
0.00251,0.054
0.00261,0.0539
0.00266,0.0538
0.00276,0.0537
0.00286,0.0536
0.00291,0.0535
0.00297,0.0534
0.00302,0.0532
0.00308,0.0532
0.0032,0.0532
0.00326,0.0531
0.00338,0.0529
0.00351,0.0527
0.00364,0.0526
0.00377,0.0524
0.00384,0.0523
0.00399,0.0521
0.00406,0.052
0.00429,0.0518
0.00446,0.0516
0.00471,0.0514
0.00471,0.0513
0.00489,0.0511
0.00498,0.051
0.00516,0.0508
0.00536,0.0507
0.00546,0.0505
0.00556,0.0504
0.00577,0.0502
0.00588,0.0501
0.00598,0.05
0.00621,0.0498
0.00644,0.0496
0.00656,0.0494
0.00681,0.0493
0.00694,0.0491
0.00707,0.049
0.00707,0.049
0.00733,0.0488
0.00761,0.0485
0.00804,0.0482
0.00834,0.0479
0.00865,0.0478
0.00882,0.0476
0.00915,0.0473
0.00915,0.0473
0.00949,0.0471
0.00985,0.0469
0.01,0.0467
0.0104,0.0465
0.0106,0.0464
0.0108,0.0462
0.011,0.0461
0.0114,0.0459
0.0114,0.046
0.0118,0.0456
0.0118,0.0457
0.0125,0.0453
0.013,0.045
0.0132,0.0449
0.0132,0.0449
0.0137,0.0447
0.0142,0.0445
0.0148,0.0442
0.0151,0.044
0.0156,0.0437
0.0156,0.0438
0.0162,0.0436
0.0165,0.0434
0.0168,0.0433
0.0171,0.0431
0.0174,0.0431
0.0178,0.0429
0.0184,0.0427
0.0188,0.0425
0.0191,0.0424
0.0195,0.0423
0.0195,0.0422
0.0198,0.042
0.0206,0.0419
0.021,0.0418
0.0214,0.0417
0.0218,0.0415
0.0222,0.0413
0.0226,0.0413
0.0234,0.0411
0.0243,0.0409
0.0248,0.0408
0.0252,0.0407
0.0257,0.0405
0.0262,0.0404
0.0267,0.0403
0.0277,0.0401
0.0282,0.04
0.0292,0.0398
0.0298,0.0397
0.0303,0.0396
0.0309,0.0395
0.0315,0.0393
0.0321,0.0391
0.0333,0.039
0.0345,0.0388
0.0358,0.0386
0.0365,0.0385
0.0372,0.0384
0.0393,0.0381
0.0408,0.0379
0.0431,0.0377
0.0439,0.0375
0.0455,0.0374
0.0464,0.0373
0.049,0.0371
0.0508,0.0369
0.0537,0.0366
0.0547,0.0365
0.0568,0.0364
0.0579,0.0363
0.06,0.0361
0.0611,0.036
0.0634,0.0359
0.0658,0.0357
0.0683,0.0356
0.0709,0.0354
0.0735,0.0354
0.0763,0.0352
0.0792,0.0351
0.0821,0.0349
0.0837,0.0348
0.0868,0.0348
0.0884,0.0348
0.0918,0.0347
0.0952,0.0345
0.097,0.0345
0.101,0.0343
0.104,0.0342
0.106,0.0342
0.112,0.0341
0.114,0.034
0.119,0.0339
0.123,0.0338
0.126,0.0337
0.13,0.0336
0.133,0.0336
0.135,0.0336
0.14,0.0335
0.146,0.0335
0.154,0.0333
0.16,0.0332
0.163,0.0332
0.166,0.0331
0.172,0.0331
