Time,Absorbance
0.00104,0.0548
0.00114,0.0548
0.00117,0.0547
0.00121,0.0546
0.00125,0.0544
0.00133,0.0541
0.00137,0.0541
0.00151,0.0541
0.00155,0.054
0.00165,0.0538
0.00171,0.0537
0.00182,0.0536
0.00187,0.0536
0.00187,0.0534
0.00193,0.0532
0.00206,0.0531
0.00226,0.0534
0.0024,0.0532
0.00256,0.0531
0.00272,0.0531
0.0029,0.0529
0.00299,0.0528
0.00318,0.0526
0.00339,0.0523
0.00361,0.0522
0.00384,0.052
0.00396,0.0518
0.00422,0.0517
0.00449,0.0514
0.00478,0.0511
0.00508,0.051
0.00541,0.0508
0.00558,0.0508
0.00576,0.0507
0.00613,0.0504
0.00632,0.0503
0.00673,0.0502
0.00695,0.05
0.00717,0.0499
0.00739,0.0496
0.00787,0.0494
0.00838,0.0493
0.00864,0.0493
0.00892,0.0491
0.0092,0.0489
0.00949,0.0487
0.0104,0.0484
0.0111,0.0483
0.0114,0.0481
0.0122,0.0478
0.0126,0.0477
0.0134,0.0476
0.0142,0.0474
0.0147,0.0472
0.0152,0.0469
0.0156,0.0468
0.0166,0.0466
0.0177,0.0464
0.0189,0.0462
0.0195,0.0462
0.0207,0.0458
0.0214,0.0457
0.022,0.0456
0.0235,0.0455
0.025,0.0453
0.0266,0.045
0.0283,0.0448
0.0301,0.0447
0.0321,0.0446
0.0341,0.0445
0.0352,0.0444
0.0375,0.0444
0.0399,0.0442
0.0424,0.0441
0.0452,0.044
0.0481,0.0439
0.0512,0.0438
0.0545,0.0436
0.0562,0.0436
0.0598,0.0436
0.0617,0.0437
0.0656,0.0435
0.0699,0.0432
0.0721,0.0432
0.0744,0.0432
0.0791,0.0433
0.0869,0.0432
0.0896,0.0432
0.0954,0.0431
0.102,0.0431
0.108,0.0431
0.111,0.0431
0.115,0.0431
0.119,0.0431
0.122,0.0431
0.126,0.0431
0.134,0.043
0.139,0.043
0.152,0.043
0.162,0.0429
0.178,0.0429
0.183,0.0429
0.189,0.0429
0.201,0.0429
0.208,0.0429
0.214,0.0429
0.221,0.0429
0.228,0.0429
0.235,0.0429
0.243,0.0429
0.25,0.0429
0.266,0.0429
0.275,0.0429
0.292,0.0429
0.311,0.0429
0.321,0.0429
0.342,0.0428
0.364,0.0428
0.387,0.0428
0.412,0.0428
0.425,0.0428
0.438,0.0428
0.466,0.0428
0.496,0.0429
0.528,0.0429
0.545,0.043
0.58,0.0429
0.598,0.0429
0.617,0.0429
0.637,0.0429
0.677,0.043
0.699,0.043
0.744,0.043
0.791,0.0431
0.842,0.0432
0.869,0.043
0.954,0.0429
1.05,0.0429
1.11,0.0431
1.19,0.043
1.26,0.0428
1.3,0.0428
1.43,0.0428
1.57,0.0428
1.72,0.0428
1.78,0.0428
1.83,0.0428
2.01,0.0427
2.08,0.0427
2.28,0.0427
2.35,0.0427
2.58,0.0427
2.75,0.0426
2.93,0.0427
3.11,0.0427
3.21,0.0427
3.53,0.0427
3.87,0.0427
3.99,0.0427
4.25,0.0424
4.52,0.0423
4.81,0.0422
4.97,0.0422
5.45,0.0422
5.62,0.0422
6.18,0.0421
6.57,0.0421
6.78,0.0421
6.99,0.0421
7.22,0.0421
7.68,0.0421
8.17,0.0422
8.7,0.0422
8.97,0.0422
9.55,0.0421
10.2,0.042
10.5,0.042
11.2,0.042
11.5,0.042
12.2,0.0419
13,0.0418
13.9,0.0418
14.8,0.0418
15.2,0.0418
16.2,0.0418
17.3,0.0417
17.8,0.0417
18.9,0.0417
20.2,0.0414
21.5,0.0414
22.1,0.0415
23.6,0.0413
25.1,0.0412
26.7,0.0411
28.4,0.0411
31.2,0.041
33.2,0.0409
37.6,0.0406
40,0.0405
42.6,0.0404
45.3,0.0403
49.8,0.0403
51.3,0.0402
54.6,0.0401
58.1,0.04
60,0.0399
61.9,0.0397
65.9,0.0396
74.6,0.0394
79.4,0.0393
84.5,0.0392
89.9,0.0392
95.7,0.039
98.8,0.0388
105,0.0387
112,0.0386
115,0.0386
123,0.0384
127,0.0383
135,0.0383
144,0.0382
153,0.0379
163,0.0378
173,0.0378
184,0.0376
190,0.0375
202,0.0374
222,0.0372
236,0.037
252,0.0369
260,0.0368
268,0.0367
285,0.0365
303,0.0364
323,0.0363
344,0.0361
366,0.0359
389,0.0358
415,0.0356
441,0.0355
484,0.0352
500,0.0352
