Time,Absorbance
0.00108,0.0404
0.0011,0.0402
0.0011,0.04
0.00112,0.0399
0.00114,0.0398
0.00116,0.0396
0.00118,0.0394
0.0012,0.0393
0.00122,0.0391
0.00125,0.0389
0.00127,0.0388
0.00129,0.0387
0.00129,0.0386
0.00129,0.0385
0.00129,0.0384
0.00134,0.0382
0.00137,0.0382
0.00139,0.038
0.00142,0.0378
0.00145,0.0376
0.00147,0.0375
0.0015,0.0373
0.00153,0.0371
0.00156,0.037
0.00159,0.0368
0.00162,0.0366
0.00165,0.0364
0.00168,0.0362
0.00171,0.0361
0.00174,0.0359
0.00177,0.0358
0.0018,0.0357
0.00184,0.0355
0.00184,0.0354
0.00187,0.0353
0.00191,0.0351
0.00198,0.0348
0.00202,0.0347
0.00205,0.0346
0.00209,0.0344
0.00213,0.0343
0.00221,0.0341
0.00225,0.0341
0.00234,0.0339
0.00238,0.0337
0.00242,0.0336
0.00247,0.0335
0.00256,0.0334
0.00266,0.0332
0.00271,0.0331
0.00276,0.033
0.00286,0.0329
0.00291,0.0328
0.00297,0.0326
0.00302,0.0325
0.00308,0.0323
0.0032,0.0322
0.00332,0.0321
0.00344,0.0319
0.0037,0.0317
0.00392,0.0317
0.00399,0.0316
0.00414,0.0315
0.00429,0.0314
0.00446,0.0313
0.00462,0.0313
0.0048,0.0312
0.00489,0.0312
0.00498,0.0312
0.00516,0.0311
0.00536,0.0311
0.00546,0.0311
0.00566,0.0311
0.00588,0.0311
0.0061,0.0311
0.00621,0.0311
0.00656,0.031
0.00681,0.031
0.0072,0.031
0.00761,0.031
0.00775,0.031
0.00789,0.031
0.00834,0.031
0.00865,0.031
0.00915,0.031
0.00967,0.031
0.01,0.0309
0.0104,0.0309
0.0106,0.0309
0.011,0.0308
0.0114,0.0308
0.0121,0.0308
0.0125,0.0308
0.013,0.0308
0.0137,0.0308
0.014,0.0308
0.0142,0.0308
0.0148,0.0308
0.0151,0.0308
0.0156,0.0308
0.0162,0.0308
0.0168,0.0308
0.0178,0.0308
0.0181,0.0308
0.0188,0.0307
0.0195,0.0307
0.0206,0.0307
0.0214,0.0307
0.0222,0.0306
0.0226,0.0306
0.0234,0.0306
0.0239,0.0306
0.0243,0.0306
0.0252,0.0306
